Region,Mean,Max,Min
L-5mv,0.3043989899695553,0.8219180107116701,-6.916628723776363e-17
L-23c,0.36029002901425056,0.8294598460197448,-2.7351791468882297e-17
L-5L,0.3497731546628622,0.9492530822753907,-5.091651446119979e-17
L-24dd,0.2206249473450213,0.5147883892059327,-2.3185925637955128e-17
L-24dv,0.18701866692177468,0.354134500026703,-1.7397251857173452e-17
L-7AL,0.4001317233962806,1.174083471298218,-6.025612581990023e-17
L-SCEF,0.1633559789484844,0.4405426979064943,-1.704551768233098e-17
L-6ma,0.1544906246922772,0.46583744883537304,-5.037375924342392e-17
L-7Am,0.3862224487047024,1.109588742256165,-1.043418526234261e-16
L-7PL,0.6271592753307119,1.5288895368576054,-1.5091230558599815e-16
L-7PC,0.4086252651263708,1.3100187778472903,-9.999995725510564e-17
L-LIPv,0.5529566654192182,1.4123694896698002,-6.03479245630522e-17
L-VIP,0.4824191256554625,1.3851517438888554,-4.034015656474264e-17
L-MIP,0.4189792589391552,1.5501585006713876,-6.132983410820726e-17
L-1,0.2759471549275788,0.939879655838013,-4.647835258251526e-17
L-2,0.30825266422238884,0.9074410796165469,-5.220992303673134e-17
L-3a,0.34461322891378976,0.7758035063743595,-4.446791658152201e-17
L-6d,0.24705874620258023,0.6786733269691468,-2.8340445676147586e-17
L-6mp,0.20040246223828018,0.5881112217903138,-4.9138916512077323e-17
L-6v,0.20865854070899567,0.47754615545272844,-2.663517669545455e-17
L-p24pr,0.2064707098680244,0.40108567476272594,-3.1467547680501606e-17
L-33pr,0.13714400725474124,0.4709289669990542,-1.9292539185553233e-17
L-a24pr,0.15706571454350252,0.2792029678821564,-9.743747663539838e-18
L-p32pr,0.14356396247510028,0.2800910770893098,-2.3766646344976267e-17
L-a24,0.11554735296913461,0.24009822309017198,-1.754328954495699e-17
L-d32,0.07414158815361631,0.22836261987686157,-1.7046976896951238e-17
L-8BM,0.11195558263883858,0.2629802525043488,-1.905590308711876e-17
L-p32,0.06619158873099726,0.19123098254203796,-5.94128223052485e-18
L-10r,0.08284917891245035,0.18413329124450692,-7.439813561638095e-18
L-47m,0.18224823660559375,0.29086512327194225,-4.7410723333416025e-18
L-8Av,0.18655740691796344,0.4335173666477205,-2.6976812273121894e-17
L-8Ad,0.14212436145597354,0.33765298128128063,-1.2004422425302711e-17
L-9m,0.08774350097946715,0.20032826066017165,-1.317670975296649e-17
L-8BL,0.10639211161824597,0.301426649093628,-1.0441698310567006e-17
L-9p,0.10099323713739024,0.2398996353149414,-1.3501992125469786e-17
L-10d,0.07282207062777263,0.20824076235294345,-9.586184402748113e-18
L-8C,0.16570659558970277,0.5078911185264591,-1.6087696293790715e-17
L-44,0.16663195580910972,0.5460844635963443,-2.9463795007962814e-17
L-45,0.15484616866562362,0.3983967900276185,-1.718520612172667e-17
L-47l,0.1342640875858815,0.3593094646930695,-1.893133314823544e-17
L-a47r,0.09804660359215289,0.2699154019355775,-1.6031020327659537e-17
L-6r,0.20862522433224168,0.5003536343574526,-1.923973947303988e-17
L-IFJa,0.15641464950686118,0.45420962572097784,-1.4377828121797707e-17
L-IFJp,0.13584805125217378,0.46143922209739696,-1.4841644111057373e-17
L-IFSp,0.14136151425093216,0.33343994617462164,-1.197501627729439e-17
L-IFSa,0.12674293456089689,0.3193014860153199,-9.856756203453045e-18
L-p9-46v,0.10804664149507945,0.33876070380210876,-2.93832075897642e-17
L-46,0.1199917614854652,0.29737269878387457,-1.7065370411669295e-17
L-a9-46v,0.097200967944923,0.25512602925300604,-1.1177166574984355e-17
L-9-46d,0.10186893278861135,0.24730256199836734,-1.137610850191083e-17
L-9a,0.08540597723072382,0.22224950790405282,-8.926007679969985e-18
L-10v,0.07715590879068218,0.21221224963665009,-8.422326162792769e-18
L-a10p,0.0728604710769817,0.18805661797523504,-9.691909348864886e-18
L-10pp,0.07588494723562794,0.1947600096464158,-8.59117346059343e-18
L-11l,0.11674427646341781,0.2423094063997269,-1.3086369471792984e-17
L-13l,0.13592263332898885,0.3210807442665102,-1.720593521794347e-17
L-OFC,0.12387544870924332,0.3957099616527558,-1.8817339032985254e-17
L-47s,0.16576380010299485,0.4359433352947236,-1.9088655594225326e-17
L-LIPd,0.5319048942672532,1.0946707725524907,-2.212676173445346e-17
L-6a,0.1993564699320434,0.5335759520530703,-3.673983093210951e-17
L-i6-8,0.219297539156986,0.4772074818611147,-1.784622428434601e-17
L-s6-8,0.13415088062563335,0.3033031523227693,-1.787268659646745e-17
L-43,0.23685761908210434,0.5752771496772766,-1.9210279729055122e-17
L-OP4,0.2644973341578062,0.6665073633193972,-3.372540411499762e-17
L-OP1,0.2872480826855948,0.8419475555419922,-2.0343316843432352e-17
L-OP2-3,0.2705337983188945,0.6588435173034667,-1.870648862710167e-17
L-52,0.3295613025215552,0.6189165711402894,-2.437708718374236e-18
L-RI,0.3916840155582002,0.7033379673957827,-3.174996637262895e-17
L-PFcm,0.3225534955431742,0.9872932434082031,-2.3461721367284694e-17
L-PoI2,0.18863955089862666,0.42888817191123974,-3.9341590223559525e-17
L-TA2,0.23625524399024903,0.48679974675178544,-7.352864426464628e-18
L-FOP4,0.1839666558260824,0.45303755998611467,-2.2834795980630673e-17
L-MI,0.20650447807785952,0.37833526730537437,-7.789225252644053e-18
